Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
111784462,2/2/2021 13:41,2/2/2021 13:46,71215,272,1094,O'Hara St & Desoto St,1094,O'Hara St & Desoto St,Customer
111784483,2/2/2021 13:41,2/2/2021 13:47,70679,308,1094,O'Hara St & Desoto St,,BIKE 70679,Customer
111784809,2/2/2021 13:56,2/2/2021 13:57,70634,91,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111785152,2/2/2021 14:12,2/2/2021 14:13,70634,87,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111785449,2/2/2021 14:29,2/3/2021 13:29,71226,82789,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111785521,2/2/2021 14:33,2/2/2021 14:37,70303,281,1059,Burns White Center at 3 Crossings,1060,Penn Ave & 29th St,Subscriber
111785546,2/2/2021 14:34,2/2/2021 15:14,70322,2412,49671,9th St & Penn Ave,1019,42nd St & Butler St,Customer
111785661,2/2/2021 14:40,2/2/2021 14:43,70617,150,1047,S 22nd St & E Carson St,,BIKE 70617,Subscriber
111785863,2/2/2021 14:52,2/2/2021 14:57,70679,313,,BIKE 70679,1044,Zulema St & Coltart Ave,Customer
111786081,2/2/2021 15:06,2/2/2021 15:19,70842,778,49731,Ross St & Fourth Ave,1046,S 25th St & E Carson St,Subscriber
111786261,2/2/2021 15:22,2/2/2021 15:23,70561,88,,BIKE 70561,,BIKE 70561,Customer
111786483,2/2/2021 15:46,2/2/2021 16:09,70542,1423,1028,Penn Ave & Putnam St (Bakery Square),1068,Forbes Ave & Murray Ave,Customer
111786516,2/2/2021 15:50,2/2/2021 15:53,70617,193,,BIKE 70617,1047,S 22nd St & E Carson St,Subscriber
111786556,2/2/2021 15:53,2/3/2021 10:34,70831,67259,1017,21st St & Penn Ave,49671,9th St & Penn Ave,Customer
111786731,2/2/2021 16:17,2/2/2021 16:20,71228,228,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111786766,2/2/2021 16:21,2/2/2021 16:43,71228,1304,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111786884,2/2/2021 16:39,2/2/2021 16:46,70542,380,1068,Forbes Ave & Murray Ave,49251,Schenley Dr & Forbes Ave,Subscriber
111786928,2/2/2021 16:46,2/2/2021 16:54,70737,496,49731,Ross St & Fourth Ave,1005,Forbes Ave & Grant St,Subscriber
111786940,2/2/2021 16:47,2/2/2021 16:51,70363,234,49731,Ross St & Fourth Ave,49731,Ross St & Fourth Ave,Subscriber
